,id,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label_issue,label_quality_2
491,2207,B01HUX3NNU,dALE,3,Something Bad happened,9/27/22,"The item on the right of picture (order from Amazon) best before date 9/28/22 is totally different. My cat refused to eat it. Texture is crumbly and dry. I ordered 2 and cannot return or get refund. The item on the left purchased from local store (and cheaper) BBD 3/23/22 is excellent. This is the product my cat loves and i expected. Don't know what happened, but i will only purchase in person from now on, as I can see the product through the window.",Negative,Product Quality Issue,Other
492,2210,B01HUX3NNU,Sandra Merwin,2,Cat treats broken pieces,9/30/23,These cat treats are all broken up.  Not whole pieces.  Cat is not sure about the flavor of the treats. Will look more carefully on reviews and seeing if they are returnable.,Negative,Product Quality Issue,Other
493,2213,B01HUX3NNU,pup24pup,5,She used to love these,11/20/22,"But last order the consistency and size was different. Used to be dense, now you can squish these easily between you fingers and she walks away from them. Something is different and they used to be one of her 2 favorite treats. I will order one more bag, hoping they go back to what they were. If not, I’ll donate what have to a shelter and won’t purchase more. She’s been eating these for years.",Negative,Product Quality Issue,Smaller Size
497,2228,B01HUX3NNU,Dianne Dickerson,3,The last packet was dry dry dry. They are suppose to be soft.,3/18/23,Way too dry. They are suppose to be soft!,Negative,Product Quality Issue,Too Hard
498,2231,B01HUX3NNU,DarlingNikki,3,Im crushed because they are crushed,9/8/22,We will see how these go but they basically arrived crushed.Im not sure why if you know you sell something that is softer and crumbly you would not use a canister.Kinda sad I have to bring this up.We can all learn something from pringles.,Negative,Product Quality Issue,Other
503,2240,B01HUX3NNU,Aurora Collins,4,Cat loves it... but it came in crushed....,2/18/19,"I would have given this a full 5 stars, but I am giving it a four because my cat likes the taste of the treat; but the treats were crushed in the bag. Someone vacuum sealed the bag in another bag and I think that is what caused all the treats to crumble. It made a bit of a mess when I opened it. I would love to buy this product again, but only if it is intact.",Negative,Product Quality Issue,Durability Issues
513,2264,B0CJZ69YMK,Danni,3,Very hard,11/18/23,"My dog seems to like the flavor of these sticks but it takes him forever to finish one because they are so hard. He likes to take his ""treats"" to his crate and chew on them there but he took one stick to his crate and gnawed on it for awhile, then lost interest and left it in his crate. I did notice he went back to it after awhile but normally he'll be in the crate until it is all gone. I suppose in one way that is good because it lasts awhile but on the opposite side of that, I do not want treats left in his crate. Overall, it just seems too hard for most dogs to chew on it.",Negative,Product Quality Issue,Too Hard
514,2265,B0CJZ69YMK,Loblady,2,Too Hard for My Dogs,11/4/23,"I’m always looking for grain free treats for my two rescues. I knew these sticks were large (about 6 inches each) but I figured I’d cut it in half and they could share one. Nope. I tried breaking it in two. My husband tried breaking it. We then tried cutting it. We could not cut it in half! So, I decided to let them each have one for a taste test. After a few minutes of gnawing, my old dog gave up and walked away. A few minutes later, my other dog yelped and dropped the stick. I think the hard ridge at the edge hit his gums causing pain so I took his away also. I’m giving two stars for ingredients and flavor but they were basically inedible by my dogs. I’d also be very careful of choking if your dog manages to bite off a small piece. A little softer and this could be a good product.",Negative,Product Quality Issue,Too Hard
516,2309,B09R6CH93J,Amazonian,3,Too soft,2/6/24,"My little Maltese eat these in a mater of seconds, was hoping they would be a little harder to slow down the consumption and allow them to chew.",Negative,Product Quality Issue,Durability Issues
530,2422,B093RQ7S3T,TonyandTricia,5,Great for chewing,1/9/23,"I only went down a star because my shi-chi had chewed part of the circle but maybe that's because she likes it better or it's a bit softer than her others.  Either way, she hasn't had more than one since we got them.",Negative,Product Quality Issue,Durability Issues
533,2430,B093RQ7S3T,Sarah Williams,1,could be a bad batch?,12/7/22,"I buy these all the time, but prefer the bag of 6. bought the 3 accidentally but assumed I would get the same quality. these things were hard as a rock and snapped in several places while trying to thread it through a treat ball (which I have always done, even with other flavors as they have decent and consistent pliabilty to them). but not these. put in for a refund and threw them out. ordered a second bag to male up for the other 3, guess we'll see...Update: (a few months and orders later) The pumpkin and pb flavors both from here AND chewy continue to be rock hard and brittle. only the blueberry bbq flavor is still of the old consistency.",Negative,Product Quality Issue,Too Hard
536,2438,B093RQ7S3T,Jessica,1,Didn’t last long,8/29/21,Was looking for something for my pup to chew on while teething these didn’t last long until they broke and I had to throw away looked like plastic!,Negative,Product Quality Issue,Durability Issues
538,2457,B018BWLEPS,Ha N.,2,"Slow ship, smell bad, mold",8/21/22,Take forever to ship.  3 out of 5 mold.  Smell horrible!,Negative,Product Quality Issue,Durability Issues
546,2488,B01JONKI9Q,Amazon Customer,1,New thickness not such a good deal,1/21/24,"The manufacturer has thickened the thickness of the sticks and maybe either the new size or sticks that were not fresh were impossible to break, cut, or saw so that my small- medium sized dogs could chew through them. I’d like to order more if they could send me the fresher and smaller sticks. Impenetrable!",Negative,Product Quality Issue,Too Hard
554,2556,B08S6MQZVV,Chris.Snider,1,These are not soft treats.,1/4/23,Looking for a soft treat for my elderly Chihuahua. These are not soft at all.,Negative,Product Quality Issue,Too Hard
556,2558,B08S6MQZVV,kat,1,My dogs hates them,11/16/22,Stale product,Negative,Product Quality Issue,Too Hard
557,2577,B01JONK8VO,Sandy McKeehan,3,Treats,12/2/22,"I usually buy these and they are really fresh, but the last 3 times they are hard as rocks. Looking for a new treat for my dog.",Negative,Product Quality Issue,Too Hard
561,2607,B01JONK8VO,Amber R.,1,Hard as a Rock,8/20/23,"The first package I purchased they were good. So I ordered two more. The second purchase, both packages were hard as a rock. Plus, they're a long star shape. So the points were sharp. Definitely not safe for my dogs to eat. Will not be buying again.",Negative,Product Quality Issue,Too Hard
