,Unnamed: 0,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label1,label2
845,845,B087BHJ9D9,Shelly Ponder,3.0,Good for a treat but not a long lasting chew,2022-06-21,"Max, an 80 Ib Dalmatian/Great Pyrenees mix, enjoyed it but it didnt last longer than maybe 20 mins. He ate it like a treat rather than chewed it like a bone. Hoped this would work but nope, still on the hunt for a long lasting, non-nylon, non-rawhide, non-hard-as-a-rock chew bone!",positive,Negative,Product Quality Issue
846,846,B087BHJ9D9,Gisell375,2.0,Most expensive 15 minutes of dog fun EVER,2022-06-18,"This quado was obviously very appealing to my dogs - I'd assumed they could gnaw on them for a half hour and then I'd put the rest away for another day.  How naive of me!  My older dog completely consumed this in the first 15 minutes, and the other had already consumed half of it.I was expecting a good after-dinner chew device and instead just got a bunch of very, very expensive extra calories.  Lesson learned - sorry, guys, I won't make the same mistake twice.  Do NOT recommend unless your dogs are very weak chewers.",negative,Negative,Value for Money
847,847,B087BHJ9D9,Heidi,1.0,"A 10 minute treat never had a chance to be ""interactive""",2022-12-28,"I ordered the large for my 45 lb 6 year old mixed breed. Gave it to her while we opened our Christmas stockings. 10 minutes later, nothing was left except a stain on my rug. What part was interactive? Or worth the $10 ""deal"" I got on this?",positive,Negative,Value for Money
848,848,B087BHJ9D9,Kimberley Wheeler,1.0,Smells horrible,2022-09-07,Not only did this not last but it smells awful and makes a huge mess,negative,Negative,Product Quality Issue
855,855,B087BHJ9D9,Samantha,4.0,Became a tripod in 5 minutes,2022-04-01,"I will start by saying that my dog LOVES this. However, I specifically bought this because the original N-bones last him a long time, and this disappointed in me that regard. I literally gave this to my 4-month-old 40-lb boxer/hound puppy while I was in a meeting, thinking it would keep him busy but 5 minutes in he had already eaten one of the four sticks.So points for flavor and SoMe durability but I won’t be able to consider it a keep-him-busy chew; more like a slightly drawn out snack.",positive,Negative,Product Quality Issue
859,859,B087BHJ9D9,Gisell375,2.0,Most expensive 15 minutes of dog fun EVER,2022-06-18,"This quado was obviously very appealing to my dogs - I'd assumed they could gnaw on them for a half hour and then I'd put the rest away for another day.  How naive of me!  My older dog completely consumed this in the first 15 minutes, and the other had already consumed half of it.I was expecting a good after-dinner chew device and instead just got a bunch of very, very expensive extra calories.  Lesson learned - sorry, guys, I won't make the same mistake twice.  Do NOT recommend unless your dogs are very weak chewers.",negative,Negative,Value for Money
860,860,B087BHJ9D9,Heidi,1.0,"A 10 minute treat never had a chance to be ""interactive""",2022-12-28,"I ordered the large for my 45 lb 6 year old mixed breed. Gave it to her while we opened our Christmas stockings. 10 minutes later, nothing was left except a stain on my rug. What part was interactive? Or worth the $10 ""deal"" I got on this?",positive,Negative,Value for Money
861,861,B087BHJ9D9,Kimberley Wheeler,1.0,Smells horrible,2022-09-07,Not only did this not last but it smells awful and makes a huge mess,negative,Negative,Product Quality Issue
867,867,B017YAHTJ8,Sal,3.0,Not the best ingredients. Avoid and use safer alternatives,2023-08-24,"The product has additives and meat is not the main ingredient. My puppy was also not very interested. It liked Blue Buffalo product better, it smelled better as my puppy said it tasted better too. I have educated myself and moved to Orijen brand. I am very happy with it, you pay more but it worth the money and your puppy will thank you.Cons:1. crumbly and poop consistency2. Get messy overhand/ fingers3. Not the ideal ingredients.My advice, move to better brands that offer freeze-dried single ingredients. I am also trying Amazon brand WAG and excited to try the beef liver product.  I tossed it away after use it briefly, as it is best for my dog.",positive,Negative,Value for Money
882,882,B017YAHTJ8,Amazon Customer,1.0,These treats gave both my boys a really bad case of the runs.,2022-03-11,Fowl projectile mess from the tail cannon.  They ate them ok but something is definitely off.  Both my boys got very sick with the runs from these.,negative,Negative,Health Issues
885,885,B017YAHTJ8,melissa,1.0,This product smells very bad,2021-08-06,This product smells very bad . I'm not even sure it's good/safe  for any dog to eat.  It also makes me very nauseous when I smell them,negative,Negative,Health Issues
898,898,B09QP9DXJS,Chocolate King Pin,5.0,He enjoys these. 👍🏽🐶👍🏽,2022-10-06,"I think the smell could be different. Different flavors. He enjoys these, but sometimes, covers them with his blanket.As far as Chew Time, it depends on the size of your Senior Dog and it's Teeth.His is finished within 10 minutes.",positive,Negative,Palatability
901,901,B09QP9DXJS,Avnrie,3.0,Doogie liked them,2022-05-25,"Doogie liked them,  but personally I found them pretty expensive. They really didn’t last all that long, and he is not a huge dog so I really expected  these chews to last a little bit longer than they actually did. I will not be in a hurry to order them again, but I may order them again at some point. I just feel that economically I can do better.",positive,Negative,Value for Money
915,915,B09QP9DXJS,RPG,1.0,Hard rawhide,2023-07-22,I thought I was ordering a softer chew. This wasn’t properly advertised & it’s too hard a rawhide for my pup’s teeth.,negative,Negative,Product Quality Issue
916,916,B09QP9DXJS,M. Nanette Barrett,1.0,Too Hard,2023-01-02,"For an old dog, these treats were too hard to chew. They hurt his teeth.",negative,Negative,Product Quality Issue
917,917,B09QP9DXJS,Matthew,3.0,Pricey,2023-04-05,For only seven rings included the price is very high. I don’t think my dog enjoys it as much. The ingredient quality isn’t good,positive,Negative,Value for Money
970,970,B01JONK96I,LuvMyWestie,4.0,My dog simply loves these. I know the ingredients ...,2017-10-27,My dog simply loves these. I know the ingredients were changed recently. I do wish they would go back to brown rice instead of potatos.,neutral,Negative,Product Quality Issue
1003,1003,B01JONK96I,Kimmers88,3.0,different than usual,2018-06-26,These seem bigger than the last ones I bought and my dog doesn't care for them. They smell different than they usually do. I wish she would eat them,negative,Negative,Palatability
1008,1008,B01JONK96I,Daniel  Peninger,1.0,Made my pup too sick 🤒,2020-08-08,"Made my dog very sick for two days and dehydrated! Trying to get something beneficial and somewhat healthy and in return she gets sick. It was for her birthday. She is a working service and doesn’t get much treats like that, so a special gift that almost killed her if we were not serving her her this time! Wish I could get a return! Yes we tried more that once!",negative,Negative,Health Issues
1031,1031,B0B8L31J68,Stacey,1.0,Did not go well,2023-12-07,The things that happened to my poor dog after she ate this are unfortunately forever engrained in my memory. It was awful. It was green. It was foaming and shot out of her like a super soaker pumped to the fullest level. I will never get these for her again and the remaining have been thrown away.,negative,Negative,Health Issues
1033,1033,B0B8L31J68,J,1.0,Terrible! Hard as a rock!,2023-02-08,"My pup loves these rings, which we normally order from Chewy. But we'd run out, and I needed fast delivery, so I ordered two bags from Amazon. Huge mistake!I don't know what was done to these, if they were stored in extreme temps or what. But instead of being very firm but chewy, both bags were filled with rings that were completely rigid and hard. My pup couldn't even chew them. What an awful waste of money for a usually great product.",positive,Negative,Product Quality Issue
1034,1034,B0B8L31J68,Sheryl Corey Moore,1.0,Count is wrong on ad,2023-10-02,Ad say seven count only received one please contact me,neutral,Negative,Purchase and Return Policy
1088,1088,B01HGMDO2U,Cynister,3.0,unfortunately my cats did not like,2023-11-15,my cats who are not usually very picky wouldnt eat them. I mixed them with food and other treats - they picked the other away and left these.,negative,Negative,Palatability
1101,1101,B01HGMDO2U,Susan Torres,2.0,For cat,2024-02-02,She liked them at first but after about a week didn’t want them any more; so not successful for siding in urine issues,positive,Negative,Health Issues
1109,1109,B01HGMDO2U,Crystal Brennan,3.0,My picky cat,2023-07-18,My picky boy didn’t care for the cranberry taste. So it defeated the purpose of getting them again. He just spits them out.,neutral,Negative,Palatability
1111,1111,B01HGMDO2U,judy a.,2.0,My Cats will not Eat these,2023-10-31,"I have 4 cats, they all love treats.  One of my cats has (F.I.C.)Feline Idiopathic Cystitis, her issue is well controlled through special foods, both hard and soft.  We thought we would add an additional layer of protection with this product.  None of our cats will eat these treats",positive,Negative,Palatability
1116,1116,B01HGMDO2U,Jeromy Stone,2.0,Meh,2023-11-30,"I like the ingredients, but neither my kitten nor my 3.5 year olde kitty would eat them. They wouldn't even touch them. I like this brand, these just weren't it.",neutral,Negative,Palatability
1126,1126,B01HGMDO2U,Jen,4.0,Cats would touch,2023-01-19,My cats refused to eat them.,neutral,Negative,Palatability
1131,1131,B01HGMDO2U,Amazon Customer,3.0,"5 Out of % Cats Said, NO",2022-12-16,I have 5 household cats. 2 of them can get crystal blockage quickly if not on special SO food. I offered these treats to them and every one of them sniffed it and looked disappointed at me. They rather have Temptations. So I gave it 3 stars. I'm not returning but will keep trying to introduce the treats to see if they will eat it later.,negative,Negative,Palatability
1162,1162,B01HGMDO2U,Dawnsky,3.0,Cat Hates This.,2022-08-11,"Well, the ingredients are great!  Unfortunately, these only help if you can get them down your cat's gullet.  My boy actually spit out the one he tried.  Oh well, at least the roomie's garbage disposal, I mean dog, will enjoy them!",positive,Negative,Palatability
1182,1182,B01JONK8Q4,Lorraine Beckwith,4.0,Start slow - digestive problems,2022-11-24,My two small dogs like these but it gives them loose stools - only 1-2 a week,negative,Negative,Health Issues
1200,1200,B01JONK8Q4,Kimberly  Lewis,3.0,Wish I could give 5 stars!,2022-02-19,"I’m so sad to have to write this review! Our puppy has LOVED these chews since the time we brought her home, however we’ve realized they’re making her sick. She’ll have bouts of throwing up all her food after she eats, and though it’s partially due to her fast eating, we’ve observed that it’s always after she’s had a chew stick the night before. Might work better for other dog breeds, but our sweet bernedoodle is a no go :(",negative,Negative,Health Issues
1215,1215,B01JONK8Q4,Barbara93,1.0,My puppy didn't like them.,2023-11-12,"My puppy is like a garbage disposal because he will eat anything. He even tried eating Styrofoam! He usually enjoys ALL foods, but he doesn't like these. He tried it once and won't eat the rest the bag. Unfortunately, it was a waste of money =/ Too bad Greenies for puppies is hard to find. He likes those better.",negative,Negative,Palatability
1224,1224,B01JONK8Q4,kindlecaretoday,4.0,Puppy chews,2021-09-04,Very strong smelling. They don't last long,positive,Negative,Palatability
1231,1231,B01JONK8Q4,Amazon Customer,3.0,Extremely high in calories,2022-07-16,My dog loved these. But I had to cut these treats in 4 pieces due to very high Kcal for dogs,positive,Negative,Health Issues
1240,1240,B01JONK8Q4,Mrs. Frear,2.0,They make a huge slimy mess,2022-11-15,My puppy doesn't like them - she'd rather teeth on carboard than these.  And they make a disgusting slimy mess when she actually does try to eat them (only when she's kenneled and has no other option).Would not buy again.  Tried to return unopened package (I got suckered into buying 2) but was not able to.,negative,Negative,Health Issues
1241,1241,B01JONK8Q4,Carla Hicks,1.0,Too hard or stale,2023-08-03,"I normally do not leave negative reviews, but since I cannot get my money back, I do not want anyone else’s wasted. This is simply too hard for a puppy. Maybe larger dogs with larger teeth, but I don’t see how anyone, even a human, would be able to bit into or chew these sticks.I’m sure this may work for larger dogs, just do not buy for a small breed.",negative,Negative,Purchase and Return Policy
1251,1251,B01JONK8Q4,John,5.0,Dog loves them,2022-06-06,They don’t last one minute,neutral,Negative,Product Quality Issue
1263,1263,B01JONK8Q4,Amazon Customer,1.0,Gave my puppy immediate diarrhea!!,2021-04-08,"I was very excited to see a ""healthy"" puppy chew stick made in the USA that promoted good health development for my pup.  I gave my pup one of the chicken flavored chew sticks this morning.  She chewed the stick in about 10 minutes and appeared to really enjoy it.  However, as soon as she finished, she immediately started to whine and cry, letting me know she wanted to get out of her crate.  I opened the crate and she ran to get a drink of water and headed right for the door.  I opened the door and let her out to her soiling area where she made a quick pee before making a very loose, watery poop!! I am extremely disappointed in this product and regret purchasing a 3-pack of the 6 oz. che sticks.  What a waste of money and an unpleasant experience for my young pup.",positive,Negative,Health Issues
1275,1275,B077VQ3GRD,Daniel McConnell,3.0,This product initially was 2 tone and looked like the product on the bag.,2024-01-06,Over the last 4 to 6 months 90% of the orders have been dark brown/black in color all the way through. The appearance is that they are over cooked / baked. Something has changed significantly with the product processing. would like to see it resolved and back to the way the product was received 6 plus months ago.,positive,Negative,Product Quality Issue
1278,1278,B077VQ3GRD,Brittany Farnsworth,1.0,These look spoiled,2023-10-07,These pieces were black instead of the normal color. I threw them away. I posted a photo of the bone next to a cut piece of what color they should be.,negative,Negative,Product Quality Issue
1281,1281,B077VQ3GRD,Robin M. Solomon,2.0,Too soft to be effective,2019-05-22,Too soft,positive,Negative,Product Quality Issue
1296,1296,B077VQ3GRD,SMik,3.0,Pup loves it but stains and might be choking hazard,2020-04-23,"A bit messy- the bits stick to pup’s coat, and the curcuma/turmeric leaves a yellow stain so make sure the pup chews on this on a towel or outside, and that he takes a shower after... the ring once broken becomes quite dangerous (I was too worried about it being broken too easily into pieces and becoming a choking hazard so I never let my pup finish the ring - always took it away once she reached the halfway mark.",negative,Negative,Safety Concerns
1300,1300,B077VQ3GRD,Nicole,1.0,Bad product,2023-09-17,They came black and smell rotten. Will not be giving this to my dog or reordering this product. 🤢,negative,Negative,Product Quality Issue
1321,1321,B077VQ3GRD,Alex D'Angelo,1.0,Useless,2022-02-07,Dogs (and I tried 4 different digs) won't touch that thing!!,neutral,Negative,Palatability
1322,1322,B077VQ3GRD,Aisha Siddiqi,1.0,Not a product I was expecting for teething,2021-01-31,I did not like this broduct it is not a puppy product he lost interest in it because of its thickness.  Not a good product.,negative,Negative,Health Issues
1323,1323,B077VQ3GRD,LH,1.0,Made my dogs sick,2021-02-11,I bought for my dogs who love to chew and all three of them ended up throwing up after having these. I threw them out.,positive,Negative,Health Issues
1327,1327,B09R6PPRMH,Taylor Marie,4.0,"Great for non-intense chewers, be careful with extreme teethers.",2023-12-14,"These teething sticks would be great for small dog puppies or puppies who are not intense or extreme chewers. My 10 week old lab chewed through and ate this stick within 3 minutes of giving it to him. So if you do get these teething sticks for your pups, just be sure to watch them closely. It says 3 sticks daily for 16 to 25lb puppies, but I would not recommend that, as they are super thin and could potentially be a choking hazard. They do not have a strong smell as well.",positive,Negative,Safety Concerns
1346,1346,B09R6PPRMH,Amazonian,3.0,Too soft,2024-02-06,"My little Maltese eat these in a mater of seconds, was hoping they would be a little harder to slow down the consumption and allow them to chew.",negative,Negative,Product Quality Issue
1348,1348,B09R6PPRMH,Bob Jopp,3.0,Watch your pets when they have them!!!,2024-01-26,I dislike my 17 yr old poodle got a piece stuck on her tooth making for a very scary time...my poodles love them but you must keep close eye as they eat them...take away when its a small piece to prevent choking!!!,negative,Negative,Safety Concerns
1354,1354,B09R6PPRMH,Ronnitta,3.0,Does not work,2023-12-28,I gave these to my puppy and it did nothing for thier urges to chew on stuff due to theething waste of money but a good snack,positive,Negative,Value for Money
1359,1359,B09R6PPRMH,Marcus/Krystal,3.0,Eh,2023-12-01,If you have a puppy that just tries to swallow treats whole like mine then this isn’t a good choice. My puppy chokes in these sticks every time so we stick with the bigger rings instead,positive,Negative,Safety Concerns
1394,1394,B09R6PPRMH,Nora,4.0,For Tiny Puppies,2023-03-31,This is not for large breed puppies. My 4 month old golden could swallow it whole if I'd let him.,positive,Negative,Safety Concerns
1404,1404,B09R6PPRMH,Yasmine,5.0,Very skinny for a dog,2023-08-28,"My dog consume one very fast, they need to be larger",positive,Negative,Purchase and Return Policy
1432,1432,B093QSLWZ8,Vanessatate,1.0,Diarrhea,2022-07-26,Puppy became sick,negative,Negative,Health Issues
1434,1434,B093QSLWZ8,Eileen,1.0,Stale,2022-05-11,Stale,negative,Negative,Product Quality Issue
1446,1446,B093QSLWZ8,dog lover,1.0,made my puppy sick,2022-01-22,these don't last long. It took my dog about 4 minutes to have it gone. they are supposed to be able to eat them but made my dog sick with diarriha that lasted 24 hours.,negative,Negative,Health Issues
1447,1447,B093QSLWZ8,Vanessatate,1.0,Diarrhea,2022-07-26,Puppy became sick,negative,Negative,Health Issues
1454,1454,B0153SSMOO,Amazon Customer,3.0,Soft treats,2023-11-05,My ferret is very picky and did not like these treats at all. He will not eat them so if you have a picky eater do not buy these!,positive,Negative,Palatability
1458,1458,B0153SSMOO,Good value and my ferrets love it .,2.0,"Ferrets won't eat, way to big",2023-11-24,It came packaged well but the particles are too big the ferrets would not eat it I even tried to give it to my cat and he would not eat it and he eats anything. Product is a little sticky and hard to chew for the animals not to say it doesn't work well for other people's ferrets and my dog likes it 🤷,negative,Negative,Health Issues
1459,1459,B0153SSMOO,Andie,4.0,Wasn't sent what was advertised,2022-12-07,"When I received it in the mail I actually got the sticks and not the little treats, I still kept them because my ferret will like them either way but I was really hoping for the soft treats.",positive,Negative,Packaging
1460,1460,B0153SSMOO,Treats are dry and not moist like they usual are,3.0,Dry treat,2023-06-07,It’s too dry this time they usually are moist,negative,Negative,Product Quality Issue
1469,1469,B0153SSMOO,Tiffany,1.0,Different recipe?,2023-04-05,"The last batch of treats I received were much darker and had a different texture. My ferrets usually go crazy for these, but not with the new batch. I’m not sure what changed or if the company that sells these is a scam, but I will be purchasing from chewy from now on. Chewy has the same type I have received in the past that my ferrets really enjoy.",negative,Negative,Product Quality Issue
1479,1479,B0153SSMOO,Ivy Mae,1.0,My ferrets won't even try these! : (,2016-07-15,None of my 5 ferrets would eat these- neither would any of my cats! They wouldn't even try them. Yuck.,neutral,Negative,Palatability
1481,1481,B0153SSMOO,Steven R,1.0,No Way,2016-12-14,Ferret totally rejected it,neutral,Negative,Palatability
1492,1492,B0153SSMOO,BCGirl,2.0,"Treats are fine, but they arrive all squished and broken",2021-11-10,"Treats are fine, but they arrived all squished and broken - and are not eligible for return. So the ferret will have to have treat crumbs :/",negative,Negative,Packaging
1498,1498,B09FQF6KF5,LG,3.0,Who knows?,2022-07-10,Looked decent but my cat took one cursory bite and refused to eat any more of it.,positive,Negative,Palatability
1499,1499,B09FQF6KF5,John C. Bennett,1.0,Cat won't eat!,2021-11-28,Cat won't eat.,neutral,Negative,Palatability
1500,1500,B09FQF6KF5,Lucy R,3.0,Neither cat would eat any,2022-07-28,"Seems to be high quality product, but neither of my cats would touch it. One cat is picky and the other eats just about anything. Maybe you'll have better luck with your felines...",positive,Negative,Palatability
1532,1532,B00061URQA,Christine,4.0,Puppy Chew Stick,2023-04-07,"On the package it says 5 - 7 pounds, but when you scroll down on the item it says 2 - 7 pounds. So which is correct?",negative,Negative,Purchase and Return Policy
1534,1534,B00061URQA,Rissa M,3.0,Doesn’t last,2023-09-26,My puppy got through this as fast as she’d eat a frozen carrot. I’ll finish the bag and stick to the frozen carrots.,positive,Negative,Value for Money
1537,1537,B00061URQA,Holly,5.0,ABSOLUTELY HORRIBLE FARTS,2023-04-19,"*written by my daughter*My mom & dog brother bought these for my dog that is currently teething .... he absolutely LOVES them.  The down side, they gave him ABSOLUTELY HORRIBLE FARTS.  I adamantly denied that this terrible smell could come from my small dog, I blamed my mom's dog .. until I got home and the smell woke me up in the middle of the night .... beware ...",negative,Negative,Health Issues
1552,1552,B00061URQA,Jeff Clapp,4.0,Don't last,2023-01-23,They like em but they're more of a treat as they don't last 5 minutes,positive,Negative,Palatability
1554,1554,B00061URQA,Louise,2.0,Waste of money,2023-11-08,"My pup only ate it a couple of times and stopped eating them, and this puppy is the kind that will eat anything…  For the couple of times that he did eat, he ended up having diarrhea…  I still have a bag and half left… what a waste of money…",positive,Negative,Health Issues
1556,1556,B00061URQA,ZhuZhuJade,4.0,Disappear too fast,2022-05-09,"Puppy loves these but they disappear way too fast. They're less chews and more treats. I would give them to puppy when putting him into his crate for a nap, hoping he'd chew on them for a bit, but he'd just swallow them in about 3 bites. Also, looking at the ingredient list, these aren't the most nutritious treats for my puppy, so I decided to stop buying them in favor of more long-lasting, healthier teething treats",positive,Negative,Health Issues
1562,1562,B00061URQA,Brenda Lodin,4.0,Our young pup liked these,2022-10-30,Our young pup liked these but needed to be monitored while chewing because they are very thin and he chewed them up and swallowed them fast.  I wouldn't buy again,positive,Negative,Safety Concerns
1584,1584,B00061URQA,Cassandra,4.0,Choke hazard,2022-12-10,Needs to be thicker. My puppy choked on them.,neutral,Negative,Safety Concerns
1586,1586,B00061URQA,Vetteman07,3.0,Not for Puppies,2023-02-21,"Bought these for my dogs litter of puppies that are teething, They are 6 weeks old. Absolutely NOT !! Hard as a rock. A potential choke hazard ! Gave them to mama dog first to see. She liked them, But would never give them to puppies.",positive,Negative,Safety Concerns
1589,1589,B00061URQA,Amazon Customer,5.0,Stick,2023-06-02,Some of the sticks are stuck together and hard to seperate,negative,Negative,Product Quality Issue
1592,1592,B00061URQA,Diversity brothers LLC,5.0,my dog loves em,2023-05-16,"Great for pups under 3 months, my dog now destroys one in a single bite.",positive,Negative,Product Quality Issue
1605,1605,B09FQDFF3Q,girasole,3.0,Chicken Feast treats,2021-11-20,"My cat loved these...once.  He then didn't want anything to do with them.  They really do smell awful, which may be a turn-on for some cats but for mine - not so much, I guess.",positive,Negative,Palatability
1611,1611,B09FQDFF3Q,H. Martin,3.0,Get Naked Biteables Natural Soft Treats,2021-11-26,"Every night at bedtime my cat gets a treat. She demands treats because it’s our routine. She has a variety of different ones but I’ve been trying to introduce treats that also have some health benefits and am not having much luck. I gave her one of these treats with her regular nightly treat. That one piece has been sitting uneaten for three nights now. She eats her regular ones but is ignoring this one. If you’re cat will eat it, it’s a good option. But Darcy is not interested.",positive,Negative,Palatability
1622,1622,B09FQDFF3Q,HeatherInTx,1.0,Horrible!,2021-11-22,I have 3 cats who will eat ANY treat but these. They smell horrid and are very pricy!,positive,Negative,Palatability
1624,1624,B09FQDFF3Q,S.M.,2.0,"They were great for a few days, but not anymore.",2021-11-26,"Based on both cats loving the purple furball soft-treats made by the same company, I thought I'd give the health soft-treats a try. At first, both cats would devour them just like the other kind. However, after a few days, the pickier of the two would begin to vomit after eating a few of the health treats, and even the other one would no longer inhale them like he used to.2 days later, the fussy eater will not touch the health treats at all, and will also no longer touch the furball treats - shame, thought I'd finally found something she'd like, but I guess it was not meant to be. Might give it a few days and see if she wants to try at least the furball treats again, but it does look like the health treats are a lost cause for both cats.",positive,Negative,Health Issues
1630,1630,B08KL4M5RK,Deb Mericle,4.0,Tough to break apart,2023-08-04,"We have a multiple dog household.A 12-year-old, and a three month old Australian shepherd/border collie mix.Well, when we give one a treat, we have to give both of them a treat. And I’ve learned they want the exact same treat.I am not strong enough to break this ring in pieces. So I give one to my older dog. She breaks it up. The little dog grabs a piece and runs.Of course all the other pieces get eaten by my 12 year old dog.Since I don’t have the flexibility to give them smaller pieces, it gives the older dog much more of this treat at one time than I would prefer.Both of my dogs devour this in record time.  No slow chewing. No lasting for days. It’s gone before I get the dishes put in the dishwasher.It may work perfectly fine in a single dog household. Or maybe if you had an older dog who did not want every single thing the puppy gets… and vice versa.But, for me and my family, it isn’t quite working out the way I hoped.It is a good product. I wish it would’ve worked out better for us. :-)",positive,Negative,Value for Money
1643,1643,B08KL4M5RK,JLS-K,3.0,Not for aggressive chewers,2023-08-06,"I bought these for my 3-month-old 4 lb yorkie puppy for teething purposes. What I didn't realize is that his sharp little baby teeth can chew this apart within minutes, leaving small pieces that are big enough to choke on.  I think I was expecting too much from this chew as my puppy is an aggressive chewer. Might be perfect for more ""chill"" puppies. I give my older yorkies all natural bully sticks (in a bully stick holder) and that's what I now use for my puppy.",positive,Negative,Safety Concerns
1645,1645,B08KL4M5RK,mike,3.0,Messy,2023-08-29,"Recommends only half per day but when they don’t finish it your left with a soggy disgusting half ring that leaves behind residue on carpets or fabrics , matted up the hair of my doodle around mouth and hands where she was “holding it” took an extra 10-15 minutes to groom it all out of her hair",negative,Negative,Health Issues
1649,1649,B08KL4M5RK,Rebecca M.,2.0,Extremely hard for puppies,2024-01-04,This one is not for small puppies - extremely hard. The pup tried one and couldn't gnaw on it. The other puppy teething ring from the same company (not for teeny puppies) is much better even though a little bigger than this one.,negative,Negative,Product Quality Issue
1657,1657,B08KL4M5RK,JFi,4.0,"Great flavor, great shape",2022-12-04,Was a really good product minus the fact it would only last about 10 min at the most,positive,Negative,Value for Money
1662,1662,B08KL4M5RK,k9s4me,5.0,Great for a teething biting naughty puppy,2023-02-07,My puppy didn’t like the flavor of the blueberry bbq,neutral,Negative,Palatability
1666,1666,B08KL4M5RK,Honey Jay,3.0,An okay product but didn’t agree with my pup,2021-05-10,"Maybe good for some puppies but I have a small mini yorkie, and he was throwing up for a full day constantly throwing up. This was the only new thing I gave him so I’m assuming this is what caused him to throw up maybe he was just to small and maybe he chewed it to quick I can say it was helping wi the the teething which is maybe why he was throwing up ! His vomit was brown so I gave him chicken and rice which seemed to resolve the issue he is doing well now!",positive,Negative,Health Issues
1668,1668,B08KL4M5RK,Amazon Customer,2.0,Ok but easily eaten and gone,2023-07-26,Good for 10 min of puppy distraction time time but easily destroyed and gone. Wouldnt buy again.,positive,Negative,Product Quality Issue
1671,1671,B08KL4M5RK,N. Russell,2.0,Ok but cheated,2023-05-20,Puppy loved it. But I paid for seven and only got four. Wish I’d noticed before she ate all 4 I would’ve returned.,positive,Negative,Purchase and Return Policy
1672,1672,B08KL4M5RK,JACKIE SANTILLI,3.0,Not for aggressive chewers,2022-04-08,This teether would be excellent for smaller breeds and breeds that aren’t aggressive chewers.  My pup loved it but tore it up in less than ten minutes.  He did however enjoy it,positive,Negative,Product Quality Issue
1673,1673,B08KL4M5RK,Janet Shoup,1.0,Nope,2024-01-14,Dog threw up after teething.,neutral,Negative,Health Issues
1678,1678,B08KL4M5RK,M Allen,1.0,DO NOT BUY !,2022-12-24,We just left the emergency vet after our pup had one of these lodged in his throat and after seizing went into cardiac arrest and could not be saved.We had bought these for sour new puppy. And lost our 5 year old dog because of them. Oh. And it’s Christmas Eve. And to rub salt in the wound the remaining  3 bags I purchased are non returnable.Save yourself the heartbreak that we are experiencing. DO NOT BUY THESE!!!,positive,Negative,Safety Concerns
1679,1679,B08KL4M5RK,Diane P.,3.0,Didn't last long - don't waste your money,2021-08-04,Didn't last but a brief moment...,neutral,Negative,Product Quality Issue
1680,1680,B08KL4M5RK,Patricia,2.0,Pups didn’t like,2022-07-04,Puppies didn’t really like these.,positive,Negative,Palatability
1682,1682,B08KL4M5RK,Deborah Graham,1.0,Not for puppies terrible product!!!,2022-06-10,"Not for puppies, I got a new dachshund puppy couple days ago got one of these gave it to my puppy and he has had diarrhea throwing up the next day will never buy this product again!!!!",positive,Negative,Health Issues
1683,1683,B08KL4M5RK,Diane,1.0,Gave my dog the runs!,2022-05-10,Not for puppies and it smells awful.,negative,Negative,Health Issues
1691,1691,B08KL4M5RK,Adrienne  Philpot,4.0,Chewy toy,2021-12-11,My little dogs didn’t seem to like them. They seem to be great for teething. My big dog loved them but could eat one in less than 2 minutes  Lol,positive,Negative,Palatability
1692,1692,B08KL4M5RK,Amazon Customer,4.0,Chewy Chew,2022-01-12,My puppy loves this but I wish it did not leave an odor/smell on her fur or around her mouth.,neutral,Negative,Palatability
1695,1695,B08KL4M5RK,Anna’sAntics!!,4.0,Puppy Teething Rings: too hard for little breed dogs,2023-06-11,"I was very excited about these teething rings when I ordered them.HOWEVER!!  When I tried one with my 6 week old Maltipoo, he couldn’t even bite down. He only eats hard food so I was very surprised! I have introduced the rings to him several times over the past 8 weeks.  It hasn’t improved.These teething rings are too large and too hard for small breed puppies. However, they would probably be great for larger breeds.So! They would be great for larger dogs, but they are too big and hard for 3.2 lb. Maltipoos!",positive,Negative,Health Issues
1703,1703,B09R6FX8LH,antoinette,4.0,"WOULD NOT BUY AGAIN, WOULD NOT RECOMMEND",2023-04-01,"I give it 4* for entertainment purposes only... if you are holding the dog while they chew this, your clothes will get gross... it will leave a gross mess everywhere your dog decides it wants to chew it... if in the crate, all their bedding will need washed... I highly recommend this be an OUTSIDE chew or it will be way more hassle than it's worth...",positive,Negative,Product Quality Issue
1706,1706,B09R6FX8LH,Christa Dahlinghaus,3.0,"My dog will eat goose poop, but not these chew sticks",2023-02-14,"I bought these for my granddog, an American English Coonhound.  I hold it out for her, she takes it and drops it.  She doesn't find it appealing at all.  The first four ingredients are:  Rice Flour, Vegetable Glycerin, Gelatin, and Water.  Meat should be the first ingredient in my opinion.I bought my pup some Pur Luv Chicken Jerky, and she goes nuts for those.  The ingredients are:  Chicken Breast, Vegetable Glycerin, Salt...that's all of the ingredients!If you're dog likes Puppy Teething Sticks, I'm glad.  They are affordable and look like they will last long.  But if they don't, try Pur Lov Chicken Jerky.",negative,Negative,Palatability
